id,public_metrics
886258384151887873,"{'retweet_count': 5337, 'reply_count': 103, 'like_count': 24769, 'quote_count': 215}"
886054160059072513,"{'retweet_count': 93, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
886054160059072513,"{'retweet_count': 93, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885984800019947520,"{'retweet_count': 5672, 'reply_count': 122, 'like_count': 28869, 'quote_count': 173}"
885984800019947520,"{'retweet_count': 5672, 'reply_count': 122, 'like_count': 28869, 'quote_count': 173}"
885528943205470208,"{'retweet_count': 5381, 'reply_count': 69, 'like_count': 31872, 'quote_count': 141}"
885528943205470208,"{'retweet_count': 5381, 'reply_count': 69, 'like_count': 31872, 'quote_count': 141}"
885518971528720385,"{'retweet_count': 3138, 'reply_count': 113, 'like_count': 18174, 'quote_count': 156}"
885518971528720385,"{'retweet_count': 3138, 'reply_count': 113, 'like_count': 18174, 'quote_count': 156}"
885311592912609280,"{'retweet_count': 15576, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885311592912609280,"{'retweet_count': 15576, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885167619883638784,"{'retweet_count': 3690, 'reply_count': 133, 'like_count': 19434, 'quote_count': 316}"
885167619883638784,"{'retweet_count': 3690, 'reply_count': 133, 'like_count': 19434, 'quote_count': 316}"
884925521741709313,"{'retweet_count': 15172, 'reply_count': 380, 'like_count': 67938, 'quote_count': 543}"
884925521741709313,"{'retweet_count': 15172, 'reply_count': 380, 'like_count': 67938, 'quote_count': 543}"
884876753390489601,"{'retweet_count': 4709, 'reply_count': 107, 'like_count': 24629, 'quote_count': 186}"
884876753390489601,"{'retweet_count': 4709, 'reply_count': 107, 'like_count': 24629, 'quote_count': 186}"
884562892145688576,"{'retweet_count': 3947, 'reply_count': 106, 'like_count': 21528, 'quote_count': 209}"
884562892145688576,"{'retweet_count': 3947, 'reply_count': 106, 'like_count': 21528, 'quote_count': 209}"
884441805382717440,"{'retweet_count': 4839, 'reply_count': 93, 'like_count': 24097, 'quote_count': 196}"
884441805382717440,"{'retweet_count': 4839, 'reply_count': 93, 'like_count': 24097, 'quote_count': 196}"
884247878851493888,"{'retweet_count': 17049, 'reply_count': 130, 'like_count': 63858, 'quote_count': 181}"
884247878851493888,"{'retweet_count': 17049, 'reply_count': 130, 'like_count': 63858, 'quote_count': 181}"
884162670584377345,"{'retweet_count': 2516, 'reply_count': 69, 'like_count': 18125, 'quote_count': 75}"
884162670584377345,"{'retweet_count': 2516, 'reply_count': 69, 'like_count': 18125, 'quote_count': 75}"
883838122936631299,"{'retweet_count': 2889, 'reply_count': 114, 'like_count': 19375, 'quote_count': 116}"
883838122936631299,"{'retweet_count': 2889, 'reply_count': 114, 'like_count': 19375, 'quote_count': 116}"
883482846933004288,"{'retweet_count': 8343, 'reply_count': 178, 'like_count': 40609, 'quote_count': 303}"
883482846933004288,"{'retweet_count': 8343, 'reply_count': 178, 'like_count': 40609, 'quote_count': 303}"
883360690899218434,"{'retweet_count': 3108, 'reply_count': 130, 'like_count': 20151, 'quote_count': 130}"
